weight,name
164,lewo
111,sąd
96,sprawiedliwość
45,jazdy
22,prawnik
21,kodeks
19,porządek
15,i sprawiedliwość
15,karne
14,agaty
10,bezprawie
10,studia
7,sędzia
7,twarde
6,pracy
5,adwokat
5,człowieka
5,konstytucja
5,nauka
5,sad
4,i porządek
4,lew
4,zasady
3,administracja
3,agata
3,cywilne
3,"do życia"
3,kierunek
3,lewa
3,łamać
3,natury
3,niesprawiedliwość
3,pięści
3,polskie
3,rzymskie
3,silniejszego
3,uj
3,ulicy
3,wolność
2,boże
2,dżungla
2,dżungli
2,głosu
2,i administracja
2,jazda
2,kara
2,moralne
2,niesprawiedliwe
2,obowiązek
2,ojca
2,prawo
2,przepisy
2,przestrzeganie
2,reguły
2,są
2,życie
