weight,name
112,sędzia
87,prawo
76,ostateczny
63,wyrok
55,sprawiedliwość
30,najwyższy
24,adwokat
24,kara
23,prawnik
21,okręgowy
16,rodzinny
11,rejonowy
11,rozprawa
10,boży
10,ława
10,więzienie
9,osąd
9,prokurator
8,sprawiedliwy
7,sprawa
6,grodzki
6,ława przysięgłych
6,sedzia
6,waga
5,niesprawiedliwość
5,powszechny
5,wysoki
4,apelacja
4,apelacyjny
4,niezawisły
4,oskarżenie
4,toga
4,wojskowy
3,anna maria wesołowska
3,okregowy
3,orzeczenie
3,policja
3,prawnicy
3,proces
3,skazany
2,administracja
2,budynek
2,czas
2,Kafka
2,kryminał
2,medycyna
2,najwyzszy
2,niesprawiedliwy
2,niezawisłość
2,niezawistny
2,ocena
2,pozew
2,samosąd
2,strach
2,wina
2,wokanda
